Crack Length,Acoustic Energy
80,3722.95
76,15862.01
75,17854.78
69,11706.3
73,10954.23
76,9705.73
75,11737.99
73,33262.68
77,9783.86
74,33329.17
128,35478.92
137,49203.13
152,49099.15
143,230244.6
144,42873.89
122,97597.54
139,84026.52
124,23444.88
123,137800.5
167,391588
254,1417753.3
237,187034.4
254,274278.6
237,1156633.4
262,1140331.8
221,700023.2
212,596826.9
233,590055.2
221,3158445
199,938075
283,624705.8
347,1097252.1
334,1781673.7
385,5876321.3
352,1042547.2
295,334612.8
297,1255937.6
338,702572.5
355,1169652.3
291,720961
408,532565.3
399,1772507.6
427,2461571.4
377,1324091.7
558,1305924.1
417,3761771.4
455,17407369.3
381,4858388
332,2046934.6
394,3351309.3
