,Crack.Length,Acoustic.Energy,Hardness,Load
1,80,3722.95,41.06825294,2.5
2,76,15862.01,49.45868557,2.5
3,75,17854.78,44.47237024,2.5
4,69,11706.3,47.35342756,2.5
5,73,10954.23,51.30245264,2.5
6,128,35478.92,40.63792603,5
7,137,49203.13,36.51091577,5
8,152,49099.15,35.76855523,5
9,143,230244.6,35.28640328,5
10,144,42873.89,32.51525599,5
11,254,1417753.3,30.49307386,10
12,237,187034.4,33.44931344,10
13,254,274278.6,28.22338266,10
14,237,1156633.4,30.46683725,10
15,262,1140331.8,29.86012406,10
16,283,624705.8,28.88770797,15
17,347,1097252.1,26.27417244,15
18,334,1781673.7,32.19171523,15
19,385,5876321.3,29.35462874,15
20,352,1042547.2,28.72815186,15
21,408,532565.3,26.79985276,20
22,399,1772507.6,29.8282691,20
23,427,2461571.4,26.92389361,20
24,377,1324091.7,28.28600377,20
25,558,1305924.1,27.32324173,20
